DB	ID	Symbol	Qualifier	GO ID	GO Name	Aspect	Evidence	Reference	With	Taxon	Date	Source	Splice
UniProtKB	A0AQL9	cav-1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	6334	20140315	UniProt	-
UniProtKB	A0M8R5	CAV2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9555	20140315	UniProt	-
UniProtKB	A0M8R5	CAV2	-	GO:0005901	caveola	Component	ISS	PMID:15703204	UniProtKB:P51636	9555	20091109	UniProt	-
UniProtKB	A0M8R6	CAV1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9555	20140315	UniProt	-
UniProtKB	A0M8R6	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	9555	20140315	UniProt	-
UniProtKB	A0M8S6	CAV2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9685	20140315	UniProt	-
UniProtKB	A0M8S6	CAV2	-	GO:0005901	caveola	Component	ISS	PMID:15703204	UniProtKB:P51636	9685	20091109	UniProt	-
UniProtKB	A0M8S7	CAV1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9685	20140315	UniProt	-
UniProtKB	A0M8S7	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000007799	9685	20140315	Ensembl	-
UniProtKB	A0M8S7	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000339191	9685	20140315	Ensembl	-
UniProtKB	A0M8S7	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0370	9685	20140315	UniProt	-
UniProtKB	A0M8T7	CAV2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	9031	20140315	UniProt	-
UniProtKB	A0M8T7	CAV2	-	GO:0045121	membrane raft	Component	ISS	GO_REF:0000024	UniProtKB:P51636	9031	20071113	AgBase	-
UniProtKB	A0M8T8	CAV1	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	9031	20140315	UniProt	-
UniProtKB	A0M8T8	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000007799	9031	20140315	Ensembl	-
UniProtKB	A0M8T8	CAV1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSP00000339191	9031	20140315	Ensembl	-
UniProtKB	A0M8V6	cav2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	7955	20140315	UniProt	-
UniProtKB	A0MTA9	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	6334	20140315	UniProt	-
UniProtKB	A0SVL1	CXADR	-	GO:0045121	membrane raft	Component	ISS	GO_REF:0000024	UniProtKB:P78310	9986	20110927	UniProt	-
UniProtKB	A0ZSX7	cacna1c	-	GO:0002095	caveolar macromolecular signaling complex	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000108413	9615	20140315	Ensembl	-
UniProtKB	A1CTJ3	ACLA_083250	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	344612	20140315	InterPro	-
UniProtKB	A1CTJ3	ACLA_083250	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	344612	20140315	InterPro	-
UniProtKB	A1DMW4	NFIA_054830	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000002	InterPro:IPR028209	331117	20140315	InterPro	-
UniProtKB	A1DMW4	NFIA_054830	-	GO:0071986	Ragulator complex	Component	IEA	GO_REF:0000002	InterPro:IPR028209	331117	20140315	InterPro	-
UniProtKB	A1EA80	-	-	GO:0005901	caveola	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000077586	10116	20140315	Ensembl	-
UniProtKB	A1L1S3	zgc:158296	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	7955	20140315	UniProt	-
UniProtKB	A1L306	TNR	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000107298	9606	20140315	Ensembl	-
UniProtKB	A1L3H1	MGC82408	-	GO:0005901	caveola	Component	IEA	GO_REF:0000040	UniProtKB-SubCell:SL-0035	8355	20140315	UniProt	-
UniProtKB	A1L570	EFNB1	-	GO:0045121	membrane raft	Component	IEA	GO_REF:0000019	Ensembl:ENSMUSP00000050716	9913	20140315	Ensembl	-
UniProtKB	A1X148	CAV2	-	GO:0005901	caveola	Component	IEA	GO_REF:0000039	UniProtKB-SubCell:SL-0035	9371	20140315	UniProt	-
