Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P18599	5HT2A_CRIGR	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	471
P50128	5HT2A_MACMU	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Macaca mulatta (Rhesus macaque)	471
P28223	5HT2A_HUMAN	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	Homo sapiens (Human)	471
Q75Z89	5HT2A_BOVIN	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A 5HTR2A	Bos taurus (Bovine)	470
O46635	5HT2A_CANFA	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-hydroxytryptamine receptor) (Serotonin receptor 2A)	HTR2A 5-HTR2A	Canis familiaris (Dog) (Canis lupus familiaris)	470
Q5R4Q6	5HT2A_PONPY	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Pongo pygmaeus (Bornean orangutan)	471
P35382	5HT2A_CAVPO	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A) (Fragment)	HTR2A	Cavia porcellus (Guinea pig)	247
P14842	5HT2A_RAT	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Rattus norvegicus (Rat)	471
P35363	5HT2A_MOUSE	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471
P50129	5HT2A_PIG	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-HT2A) (Serotonin receptor 2A)	HTR2A	Sus scrofa (Pig)	470
O95477	ABCA1_HUMAN	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261
P41233	ABCA1_MOUSE	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1)	Abca1 Abc1	Mus musculus (Mouse)	2261
Q9BYF1	ACE2_HUMAN	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
P49582	ACHA7_MOUSE	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Mus musculus (Mouse)	502
Q05941	ACHA7_RAT	reviewed	Neuronal acetylcholine receptor subunit alpha-7	Chrna7 Acra7	Rattus norvegicus (Rat)	502
Q9Z0F8	ADA17_MOUSE	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	Adam17 Tace	Mus musculus (Mouse)	827
P78536	ADA17_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)	ADAM17 CSVP TACE	Homo sapiens (Human)	824
