Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P05026	AT1B1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	ATP1B1 ATP1B	Homo sapiens (Human)	303
P54709	AT1B3_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	ATP1B3	Homo sapiens (Human)	279
P14094	AT1B1_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1 Atp4b	Mus musculus (Mouse)	304
P97370	AT1B3_MOUSE	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Mus musculus (Mouse)	278
P07340	AT1B1_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1)	Atp1b1	Rattus norvegicus (Rat)	304
Q63377	AT1B3_RAT	reviewed	Sodium/potassium-transporting ATPase subunit beta-3 (Sodium/potassium-dependent ATPase subunit beta-3) (ATPB-3) (CD antigen CD298)	Atp1b3	Rattus norvegicus (Rat)	279
Q8R2Q8	BST2_MOUSE	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (CD antigen CD317)	Bst2	Mus musculus (Mouse)	172
Q10589	BST2_HUMAN	reviewed	Bone marrow stromal antigen 2 (BST-2) (HM1.24 antigen) (Tetherin) (CD antigen CD317)	BST2	Homo sapiens (Human)	180
Q6WRU0	BST2_CRIGR	reviewed	Bone marrow stromal antigen 2 (BST-2) (Luminal membrane-associated protein GREG) (CD antigen CD317)	Bst2	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	203
Q811A2	BST2_RAT	reviewed	Bone marrow stromal antigen 2 (BST-2) (Protein DAMP-1) (CD antigen CD317)	Bst2 Damp1	Rattus norvegicus (Rat)	172
