Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P30154	2AAB_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)	PPP2R1B	Homo sapiens (Human)	601
P18599	5HT2A_CRIGR	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)	471
P50128	5HT2A_MACMU	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Macaca mulatta (Rhesus macaque)	471
P28223	5HT2A_HUMAN	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A HTR2	Homo sapiens (Human)	471
Q75Z89	5HT2A_BOVIN	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A 5HTR2A	Bos taurus (Bovine)	470
O46635	5HT2A_CANFA	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (5-hydroxytryptamine receptor) (Serotonin receptor 2A)	HTR2A 5-HTR2A	Canis familiaris (Dog) (Canis lupus familiaris)	470
Q5R4Q6	5HT2A_PONPY	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	HTR2A	Pongo pygmaeus (Bornean orangutan)	471
P35382	5HT2A_CAVPO	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A) (Fragment)	HTR2A	Cavia porcellus (Guinea pig)	247
P14842	5HT2A_RAT	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Rattus norvegicus (Rat)	471
P35363	5HT2A_MOUSE	reviewed	5-hydroxytryptamine receptor 2A (5-HT-2) (5-HT-2A) (Serotonin receptor 2A)	Htr2a Htr2	Mus musculus (Mouse)	471
